Order Number,SKU,Product Name,Human chosen packaging,Price,Product Package Type (termando defined),Weight,Length,Width,Height
500027379,A143671,Fancy Feast Gravy Lovers WhiteFish in Sauteed Seafood Flavoured Gravy 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500027379,A163524,Dine Daily Morsels in Jelly with Chicken Cat Food 85g,1 Box,1.49,1,0.092,2.3,8.8,8.8
500027379,A144056,Dine Daily Cuts in Gravy with Lamb Cat Food 85g,1 Box,1.49,1,0.09,2.8,8.8,8.8
500027379,A158909,Fancy Feast Royale Broths Finely Sliced Chicken Cat Food 40g,1 Box,1.55,1,0.05,4.6,8.7,1.3
500027379,A167588,Fancy Feast Inspirations Chicken Pasta Pearls & Spinach 70g,1 Box,1.55,1,0.09,15,9.2,1.4
500027385,A169162,Isle Of Dogs Natural Breath Dog Treats 340g,"1 Box
1 Satchel/Bag",21.97,1,0.34,5,15,24
500027385,A176651,Plato Farmers Market Chicken & Vegetables Dog Treats 113g,"1 Box
1 Satchel/Bag",12.93,2,0.113,20,15,6
500027385,A167854,Yours Droolly Indoor Dog Mattress Blue - Medium,"1 Box
1 Satchel/Bag",109.98,2,1.5,90,59,8
500027385,A131362,Argus Electric Large Pet Heat Pad,"1 Box
1 Satchel/Bag",79.98,1,0.35,36,10.5,8.5
500027396,A168385,Iams Chicken Adult Cat Food 800g,1 Box,15.49,1,0.8,8,21.5,28
500027405,A127088,Hills Science Diet Original Active Longevity Senior Cat Food 6kg,1 Carton,108.96,1,6.1,55,30,10
500027417,A131111,Royal Canin Instinctive Kitten Food in Gravy 85g,"1 Box
1 Box",2.49,1,0.1,15,9.5,1
500027417,A143668,Fancy Feast Gravy Lovers Beef in Roast Beef Flavoured Gravy Cat Food 85g,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027417,A143667,Fancy Feast Gravy Lovers Chicken in Grilled Chicken Flavour Gravy Cat Food,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027417,A143670,Fancy Feast Gravy Lovers Salmon in Seared Salmon Flavoured Gravy Cat Food,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027417,A143671,Fancy Feast Gravy Lovers WhiteFish in Sauteed Seafood Flavoured Gravy 85g,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027417,A143822,Fancy Feast Grilled Chicken & Beef Cat Food 85g,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027417,A113044,Fancy Feast Grilled Salmon Cat Food 85g,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027417,A143818,Fancy Feast Grilled Turkey Cat Food 85g,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027417,A113048,Fancy Feast Marinated Chicken Cat Food 85g,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027417,A114930,Fancy Feast Marinated Turkey Cat Food 85g,"1 Box
1 Box",1.55,1,0.09,6.7,6.7,3.7
500027418,A135569,Advantage Flea Treatment for Cats over 4kg 4 Pack,1 Box,56.96,1,0.03,16.5,10.5,2.5
500027419,A151343,Pedigree Real Mince & Vegies Dog Food 20kg,1 Satchel/Bag,69.49,2,20.2,43,11,65
500027452,A174826,Hills Science Diet Hairball Control 7+ Adult Cat Food 4kg,1 Box,77.94,1,4.07,30.48,40.64,11.43
500027452,A163654,Dine Desire Fine Flaked Chicken 85g,1 Box,1.74,1,0.1,6.6,3.7,6.6
500027452,A236602,Dine Desire Chicken and Salmon in Sauce 85g,1 Box,1.74,1,0.1,21.7,14.3,16.3
500027452,A144041,Dine Desire Succulent Chicken Cat Food 85g,1 Box,1.74,1,0.09,6.6,6.6,3.7
500028434,A118169,Royal Canin Labrador Adult Dog Food 12kg,1 Satchel/Bag,145.96,2,12.1,37,12,82
500028477,A167083,Hills Science Diet Perfect Weight Dog Food 6.8kg,1 Carton,97.53,1,6.8,8,30,60
500028478,A141169,Breeder Celect Recycled Paper Litter 30l,1 Satchel/Bag,33.98,2,10.2,63,33,10
500028482,A177723,Pro Plan Small Breed Dog Food With Optilife 7kg,1 Parcel,82.93,1,,,,
500028486,A143827,Fancy Feast Elegant Medleys Shredded White Meat Chicken Cat Food 85g,"1 Box
1 Satchel/Bag",1.75,1,0.094,6.7,6.7,3.7
500028486,A143828,Fancy Feast Elegant Medleys Shredded Wild Salmon Cat Food 85g,"1 Box
1 Satchel/Bag",1.75,1,0.094,6.7,6.7,3.7
500028486,A133567,Fancy Feast Elegant Medleys White Meat Chicken Florentine Cat Food,"1 Box
1 Satchel/Bag",1.75,1,0.094,6.7,6.7,3.7
500028486,A133566,Fancy Feast Elegant Medleys Wild Salmon Florentine Cat Food 85g,"1 Box
1 Satchel/Bag",1.75,1,0.094,6.7,6.7,3.7
500028486,A118118,Royal Canin Maxi Junior Puppy Food 15kg,"1 Box
1 Satchel/Bag",156.96,2,15.2,75,37,12
500028486,A162366,Butchers Superior Cuts 15cm Bully Sticks Dog Treats 50 pack,"1 Box
1 Satchel/Bag",69.98,1,1.5,27,20,10
500028499,A152216,Topflite Wild Bird Nutty Peanut Energy Cake,1 Box,6.87,1,0.31,10.5,10.5,3.5
500028499,A152217,Topflite Wild Bird  WIld Berry Energy Cake,1 Box,6.87,1,0.31,10.5,10.5,3.5
500028533,A236602,Dine Desire Chicken & Salmon in Sauce 85g,1 Box,1.74,1,0.1,21.7,14.3,16.3
500028533,A144043,Dine Desire Flaked Tuna & Shredded Crab Cat Food 85g,1 Box,1.74,1,0.09,6.6,6.6,3.7
500028533,A163655,Dine Desire Flaked Tuna and Shaved Bonito 85g,1 Box,1.74,1,0.1,6.6,3.7,6.6
500028533,A163661,Dine Desire Flaked Tuna topped with Sole 85g,1 Box,1.74,1,0.1,6.6,3.7,6.6
500028533,A144047,Dine Desire Pure Tuna Whitemeat Cat Food 85g,1 Box,1.74,1,0.09,6.6,6.6,3.7
500028533,A144045,"Dine Desire Succulent Tuna, Whitebait & Snapper Cat Food 85g",1 Box,1.74,1,0.09,6.6,6.6,3.7
500028538,A163139,Go Cat Wild thing Wand Teaser Cat Toy 36inch,"1 Box
1 Cylinder",23.89,2,0.06,50,19,91
500028538,A138999,Kong Catnip Carrot Cat Toy,"1 Box
1 Cylinder",16.81,1,0.05,15,6,5
500028538,A148883,Feather Teaser Cat Toy 50cm,"1 Box
1 Cylinder",10.78,1,0.05,59.7,8.7,1.5
500028538,A171518,Bond & Co Ceramic Cat Face Bowl Black 140ml,"1 Box
1 Cylinder",16.98,1,0.3,15.75,15,5
500028538,A171490,Bond & Co Reflective Cat Harness Set Blue,"1 Box
1 Cylinder",24.98,1,0.13,9.8,5.1,1
500028538,A158651,Fun Green Cat Litter Scoop,"1 Box
1 Cylinder",6.18,1,0.2,22,10,2
500028549,A130908,Royal Canin Digestive Care Cat Food 2kg,1 Box,45.96,1,2.1,39,20,10
500028550,A135584,Advantage Flea Treatment for Cats over 4kg - 6 Pack,1 Box,76.69,1,0.03,16.5,10.5,2.5
500028550,A154433,Greenies Oven Roasted Chicken Cat Treats 71g,1 Box,7.9,1,0.08,19.5,13,3.5
500028550,A158384,M&C VETIQ Healthy Bites Breath & Dental Indoor Cat Treats,1 Box,9.81,1,0.08,2,10.5,19
500028550,A157939,Snoozzy Shearling Cup Dog Bed Blue,1 Box,39.98,1,0.5,50,20,20
500028550,A170594,Catit Senses 2 Level Treat Maze,1 Box,25.86,1,0.1,18,18,8
500028561,A163184,Eukanuba Medium Breed Weight Control Dog Food 15kg,1 Satchel/Bag,162.98,2,15.2,15,39,78
500028563,A127088,Hills Science Diet Original Active Longevity Senior Cat Food 6kg,1 Carton,108.96,1,6.1,55,30,10
500028567,A175612,Watson & Williams Poultry Wheat 5kg,1 Box,13.76,1,5,30,10,30
500028567,A220958,Kaytee Pine Bedding 10L,1 Box,10.96,1,0.92,41,10,10
500028586,A235837,Playmate Traveller - Medium Open Top 56 X 37 X 33.5cm,1 Box,89.88,2,3,56,37,33
500028600,A141477,Iams Chicken Adult Cat Food 15kg,"1 Box
1 Satchel/Bag",159.99,2,15.5,39,11.8,78.5
500028600,A135584,Advantage Flea Treatment for Cats over 4kg - 6 Pack,"1 Box
1 Satchel/Bag",76.69,1,0.03,16.5,10.5,2.5
500028600,A163467,Profender All wormer for Cats 5.1kg to 8kg - 2 Pack,"1 Box
1 Satchel/Bag",44.77,1,0.07,9,10,2
500028606,A113040,Fancy Feast Chunky Chicken Feast Cat Food 85g,"1 Box
1 Box
1 Parcel
1 Parcel",1.55,1,0.09,6.7,6.7,3.7
500028606,A113049,Fancy Feast Classic Ocean Whitefish & Tuna Feast Cat Food 85g,"1 Box
1 Box
1 Parcel
1 Parcel",1.55,1,0.09,6.7,6.7,3.7
500028606,A114928,Fancy Feast Classic Tender Beef Feast Cat Food 85g,"1 Box
1 Box
1 Parcel
1 Parcel",1.55,1,0.09,6.7,6.7,3.7
500028606,A114939,Fancy Feast Classic Tender Beef & Chicken Feast Cat Food 85g,"1 Box
1 Box
1 Parcel
1 Parcel",1.55,1,0.09,6.7,6.7,3.7
500028606,A143798,Fancy Feast Classic Chopped Grill Feast Cat Food 85g,"1 Box
1 Box
1 Parcel
1 Parcel",1.55,1,0.09,6.7,6.7,4
500028606,A143818,Fancy Feast Grilled Turkey Cat Food 85g,"1 Box
1 Box
1 Parcel
1 Parcel",1.55,1,0.09,6.7,6.7,3.7
500028606,A177615,Sophresh Cat Litter Clumping 12L,"1 Box
1 Box
1 Parcel
1 Parcel",29.99,2,15.36,47,30,10
500028606,A176705,Drontal Worm Treatment for Cats 6kg 2 Pack,"1 Box
1 Box
1 Parcel
1 Parcel",20.98,2,0.14,2,7,15
500028666,A113043,Fancy Feast Classic Savoury Salmon Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028666,A114939,Fancy Feast Classic Tender Beef & Chicken Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028666,A132031,Fancy Feast Classic Tender Beef & Liver Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028666,A114928,Fancy Feast Classic Tender Beef Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028666,A114934,Fancy Feast Classic Tender Liver & Chicken Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028666,A113042,Fancy Feast Classic Turkey & Giblets Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028667,A143798,Fancy Feast Classic Chopped Grill Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,4
500028667,A113043,Fancy Feast Classic Savoury Salmon Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028667,A114939,Fancy Feast Classic Tender Beef & Chicken Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028667,A132031,Fancy Feast Classic Tender Beef & Liver Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028667,A114934,Fancy Feast Classic Tender Liver & Chicken Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028667,A114928,Fancy Feast Classic Tender Beef Feast Cat Food 85g,1 Box,1.55,1,0.09,6.7,6.7,3.7
500028681,A141841,Natures Miracle Advanced Stain & Odour Control for Cats 709ml,1 Box,33.44,1,0.813,9.5,5.1,26.7
500027812,A168718,Nutro Lamb & Rice Puppy Food 2.27kg,1 Box,32.9,1,2.5,12.7,20.32,40.64
500027983,A176303,Eukanuba Large Breed Puppy Food 15kg,1 Satchel/Bag,167.97,2,15.1,15,37,80
500028005,A163524,Dine Daily Morsels in Jelly with Chicken Cat Food 85g,1 Box,1.49,1,0.092,2.3,8.8,8.8
500028065,A177741,Pro Plan Derma Plus Cat Food With Optiderma 1.3kg,1 Box,29.94,2,1.32,95,195,340
500028076,A141453,Eukanuba DailyCare Sensitive Skin Dog Food 12kg,1 Satchel/Bag,141.98,2,12.16,12,37,82
500028101,A167090,Hills Science Diet Perfect Weight Cat Food 1.3kg,1 Box,30.9,1,1.3,10,18,22
500028117,A134323,Elements Fish Keepers Learner Kit 21L,1 Box,99,1,6.25,37.5,23.5,17.5
500028151,A174845,Hills Science Diet Healthy Cuisine Chicken & Rice Medley Kitten Food 79g,1 Box,2.49,1,0.09,6.77,6.77,7.94
500028396,A133707,Blue Planet Bubbilo Air Pump SP100,1 Box,18.47,1,0.26,6,8.5,17
500028423,A177714,Pro Plan Small Breed Puppy Food With Optistart 2.5kg,1 Box,40.97,1,,,,
500028429,A167758,Aqua One Ecostyle 47 White Aquarium 38L,1 Carton,139,1,12,53,46,34
500028429,A144198,Blue Planet Bubbilo Airline Accessory Kit,1 Carton,8.27,1,0.081,10,8,4
500028429,A167676,Elements Aquarium Pepper Gravel 4-6mm 3kg,1 Carton,16.76,1,3,23,16,5
500028449,A114065,Petsafe Ultrasonic Handheld Collarless Dog Training System.,1 Box,89,1,0.17,7.6,15.2,20.3
500028456,A165185,Nutrience Original Large Breed Dog Food 13.6kg,1 Satchel/Bag,109,2,13.7,37,13,62
500028483,A142790,Hills Science Diet Oral Care Dog Food 2kg,1 Carton,39.76,1,2.1,20,12,41
500028518,A141453,Eukanuba DailyCare Sensitive Skin Dog Food 12kg,1 Satchel/Bag,141.98,2,12.16,12,37,82
500028518,A141404,Eukanuba Large Breed Puppy Food 3kg,1 Satchel/Bag,50.96,1,3.1,12,21,42
500028521,A143827,Fancy Feast Elegant Medleys Shredded White Meat Chicken Cat Food 85g,1 Box,1.75,1,0.094,6.7,6.7,3.7
500028521,A143828,Fancy Feast Elegant Medleys Shredded Wild Salmon Cat Food 85g,1 Box,1.75,1,0.094,6.7,6.7,3.7
500028521,A133567,Fancy Feast Elegant Medleys White Meat Chicken Florentine Cat Food,1 Box,1.75,1,0.094,6.7,6.7,3.7
500028521,A133566,Fancy Feast Elegant Medleys Wild Salmon Florentine Cat Food 85g,1 Box,1.75,1,0.094,6.7,6.7,3.7
500028587,A173308,Nexgard Spectra Flea Tick & Worm Chewable Treatment 3.6-7.5kg - 1 Pack,1 Parcel,23.97,1,0.03,11.7,2.6,10.2
500028587,A173312,Nexgard Spectra Flea Tick & Worm Chewable Treatment 15.1-30kg - 1 Pack,1 Parcel,24.97,1,0.03,11.7,2.6,10.2
500028705,A151512,Purina Cat Chow Complete Cat Food 7.26kg,1 Parcel,49.99,1,7.37,8.9,37.5,55.9
500028315,A131113,Royal Canin Intense Beauty Cat Food in Gravy 85g,1 Box,2.49,1,0.1,15,9.6,1
500028315,A131114,Royal Canin Ultra Light Cat Food in Gravy 85g,1 Box,2.49,1,0.1,15,9.5,1
500028335,A236901,Royal Canin Maine Coon Cat Food Pouch 85g,1 Box,2.49,1,0.1,15,9,1
500028335,A159440,Royal Canin Ageing +7 Senior Cat Food in Jelly 85g,1 Box,2.49,1,0.1,15,9.5,1
500028335,A147068,Royal Canin Ageing +12 Senior Cat Food in Gravy 85g,1 Box,2.49,1,0.1,15,9.5,1
500028335,A147069,Royal Canin Sensitive Digestion Cat Food in Gravy 85g,1 Box,2.49,1,0.1,15,9.5,1
500028460,A130707,Catit Grey Enclosed Cat Litter Tray,1 Satchel/Bag,93.98,2,1,53,40,47
500028460,A165860,Outward Hound Fun Feeder Dog Bowl Drop Teal,1 Satchel/Bag,43.98,1,0.3,12.5,11.6,2.3
500028476,A174842,Hills Science Diet Small Bites Puppy Food 2kg,1 Carton,36.86,1,2.25,20,12,41
500028480,A118169,Royal Canin Labrador Adult Dog Food 12kg,1 Satchel/Bag,145.96,2,12.1,37,12,82
500028487,A137990,Entertaineze Puzzle Ball Small Dog Toy,1 Box,24.99,1,0.27,24.5,16,8.5
